user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
"미국 전기차 시장에서 Rivian Automotive, Inc.의 설립 배경과 주요 사업 분야는 무엇인가요?","['Rivian Automotive, Inc.는 2009년에 설립된 미국의 전기 자동차 제조업체, 자동차 기술 및 야외 레크리에이션 회사입니다.\n\n**주요 정보:**']","Rivian Automotive, Inc.는 2009년에 설립된 미국의 전기 자동차 제조업체이며, 자동차 기술과 야외 레크리에이션 분야에서도 활동하는 회사입니다.",industry_analyst,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
북미 서비스 지역이 뭔가요?,"['- **회사 유형:** 상장\n- **거래소:** NASDAQ: RIVN\n- **설립:** 2009년 6월, 플로리다 주 록ledge\n- **설립자:** R. J. 스캐린지\n- **본사:** 미국 캘리포니아 주 어바인\n- **서비스 지역:** 북미\n- **주요 인물:** R. J. 스캐린지 (CEO)\n- **제품:** 전기 자동차, 배터리\n- **생산량 (2023):** 57,232대\n- **서비스:** 전기 자동차 충전, 자동차 보험\n- **수익 (2023):** 44억 3천만 미국 달러\n- **순이익 (2023):** -54억 미국 달러\n- **총 자산 (2023):** 168억 미국 달러']","북미는 이 회사가 전기 자동차와 배터리 제품을 제공하며, 전기 자동차 충전과 자동차 보험 서비스를 제공하는 주요 서비스 지역입니다.",masters_student,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
"2023년 기준으로 rivian.com에 따르면 리비안의 총 자본과 직원 수는 각각 얼마이며, 이 수치들이 회사의 규모를 어떻게 반영하는지 설명해 주시겠습니까?","['- **총 자본 (2023):** 91억 4천만 미국 달러\n- **직원 수 (2023년 12월):** 16,790명\n- **웹사이트:** rivian.com']","2023년 기준으로 rivian.com에 따르면 리비안의 총 자본은 91억 4천만 미국 달러이며, 직원 수는 16,790명입니다. 이 수치는 리비안이 상당한 자본과 인력을 보유한 대규모 전기차 기업임을 보여줍니다.",graduate_researcher,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
2021년 Rivian의 미국 전기차 시장 진출과 관련하여 어떤 주요 생산 및 배송 활동이 있었습니까?,"['**개요**\n\nRivian은 ""스케이트보드"" 플랫폼(R1T 및 R1S 모델)을 기반으로 한 전기 스포츠 유틸리티 차량(SUV), 픽업 트럭 및 전기 배달 밴(Rivian EDV)을 생산합니다. R1T 배송은 2021년 말에 시작되었습니다. 회사는 2022년에 미국에서 충전 네트워크를 시작하여 2024년에 다른 차량에도 개방했습니다. 생산 공장은 일리노이 주 노멀에 있으며, 다른 시설은 미국, 캐나다, 영국 및 세르비아의 여러 주에 있습니다.\n\n**역사**\n\n**초창기 (2009–15):**']","2021년 말에 Rivian은 스케이트보드 플랫폼을 기반으로 한 R1T 모델의 배송을 시작하였습니다. 이는 회사가 미국 전기차 시장에 본격적으로 진출한 중요한 시점이며, 이후 2022년에 미국 내 충전 네트워크를 시작하고 2024년에 이를 다른 차량에도 개방하는 등 시장 확대를 위한 활동을 이어갔습니다.",industry_analyst,PERFECT_GRAMMAR,LONG,single_hop_specific_query_synthesizer
R1S 전기차는 언제 공개되었나요?,"['- 2009년 R. J. 스캐린지가 Mainstream Motors로 설립.\n- 2011년 Rivian Automotive로 사명 변경.\n- 처음에는 스포츠카 프로토타입(R1)에 집중했지만 전기 및 자율 주행 차량으로 전환.\n\n**생산 준비 (2016–20):**\n\n- 2017년 일리노이 주 노멀에 있는 이전 Mitsubishi Motors 제조 공장을 1,600만 달러에 인수.\n- 2017년 12월, 첫 두 제품인 R1T (픽업 트럭)와 R1S (SUV)를 공개.\n- 생산은 2020년에 시작될 예정.\n\n**첫 모델 배송; IPO; 감원 및 확장 (2021–24):**']",R1S 전기차는 2017년 12월에 Rivian이 첫 두 제품인 R1T 픽업 트럭과 함께 공개하였습니다.,graduate_researcher,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
Rivian 2021년 11월에 뭐 했어요? IPO 관련해서 자세히 알려주세요.,"['- R1T 배송은 2021년 9월에 시작되어 Rivian은 완전 전기 픽업을 소비자 시장에 출시한 최초의 자동차 제조업체가 됨.\n- 2021년 11월, Rivian은 IPO를 통해 135억 달러를 조달하여 상장 회사가 됨.\n- Ford와 Rivian은 전기 자동차 공동 개발 계획을 취소.\n- 2022년 3월, Rivian은 부품 비용으로 인해 R1T 및 R1S의 가격 인상을 발표했으며, 이후 소급 적용에 대해 사과.\n- 2022년 7월, Rivian은 6%의 인력 감축을 발표.\n- 2022년 9월, 유럽에서 전기 밴을 생산하기 위해 Mercedes-Benz Group과 합작 투자를 발표했지만 나중에 취소됨.']",2021년 11월에 Rivian은 IPO를 통해 135억 달러를 조달하여 상장 회사가 되었습니다.,masters_student,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
"2024년 3월에 Rivian이 공개한 신차 모델은 무엇이며, 그 특징은 무엇인가요?","['- 2022년 10월, 느슨한 토크 볼트로 인해 13,000대의 차량을 자발적으로 리콜.\n- 2023년 6월, Tesla의 북미 충전 시스템(NACS) 채택을 발표.\n- 2023년 6월, ""A Better Route Planner""(ABRP) EV 경로 계획 앱을 개발한 Iternio 인수.\n- 2023년 10월, Amazon과의 독점 계약을 종료하여 Rivian이 다른 상업 고객에게 공급할 수 있도록 허용.\n- 2024년 2월, 급여 직원 10% 감축 발표.\n- 2024년 3월, 더 작은 가격대의 R2 SUV 및 R3 공개.']",2024년 3월에 Rivian은 더 작은 가격대의 R2 SUV 및 R3 모델을 공개했습니다.,graduate_researcher,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
R1T 전기 픽업 트럭의 주요 특징은 무엇인가요?,"['**Volkswagen과의 파트너십 (2024)**\n\n- 2024년 6월, Volkswagen Group은 전기 아키텍처 및 소프트웨어 기술 개발을 목표로 Rivian에 최대 50억 달러를 투자할 의향을 발표.\n\n**차량**\n\n- **R1T:** 4개의 전기 모터가 장착된 픽업 트럭. 배터리 크기는 105 kWh에서 180 kWh까지 다양함.\n- **R1S:** 첫 번째 Rivian 플랫폼의 스포츠 유틸리티 차량(SUV) 버전.\n- **Electric Delivery Van (EDV):** 상업용 전기 밴으로, 주로 Amazon용으로 설계되어 사용됨.\n- **R2:** 더 작고 저렴한 SUV로, 새로운 플랫폼에서 2026년 초에 출시될 예정.\n- **R3:** 출시 예정인 전기 소형 SUV.']","R1T는 4개의 전기 모터가 장착된 픽업 트럭이며, 배터리 크기는 105 kWh에서 180 kWh까지 다양합니다.",masters_student,WEB_SEARCH_LIKE,SHORT,single_hop_specific_query_synthesizer
Why Rivian start Waypoint charging station and how it change for other car use in US and Canada?,['**EV 충전**\n\nRivian은 미국과 캐나다 전역에 공공 충전소 네트워크를 개발하고 있습니다. Rivian은 2021년에 Waypoint 충전기 설치를 시작했지만 2023년 4월에 Rivian Adventure Network가 Rivian 이외의 차량에도 개방될 것이라고 발표되었습니다. Rivian은 또한 2025년 모델 연도부터 북미에서 차량에 북미 충전 시스템(NACS)을 채택할 예정입니다.\n\n**시설**'],"Rivian started installing Waypoint chargers in 2021 as part of developing a public charging network across the US and Canada. In April 2023, Rivian announced that the Rivian Adventure Network, which includes these chargers, will be opened to vehicles other than Rivian's own, allowing broader access. Additionally, from the 2025 model year, Rivian plans to adopt the North American Charging Standard (NACS) for its vehicles in North America.",graduate_researcher,POOR_GRAMMAR,LONG,single_hop_specific_query_synthesizer
"What is Woking, England office for Rivian?","['- **Irvine, California:** 차량 엔지니어링 및 설계에 중점을 둔 본사.\n- **Normal, Illinois:** 차량 부품을 생산하고 조립을 수행하는 제조 공장.\n- **Plymouth, Michigan:** 차량 엔지니어링, 프로토타입 제작, 공급망 및 회계에 중점을 둡니다.\n- **Palo Alto, California:** 소프트웨어 개발 및 엔지니어링에 중점을 둡니다.\n- Carson, California 및 Woking, England에 추가 사무실이 있습니다.\n- 애틀랜타 동쪽에 있는 새로운 50억 달러 규모의 배터리 및 조립 공장은 보류 중입니다.\n\n**재정**\n\nRivian의 재무 성과는 상당한 수익 성장과 상당한 순손실로 특징지어집니다.']","Rivian has an additional office in Woking, England, but the specific focus or function of this office is not detailed in the provided context.",graduate_researcher,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
